source hex,source int,source,source len,source bytes,destination hex,destination int,destination,destination len,destination bytes,diff,diff bytes
03A5,933,Υ,2,206 165,03C5,965,υ,2,207 133,32,1 32
03A6,934,Φ,2,206 166,03C6,966,φ,2,207 134,32,1 32
03A7,935,Χ,2,206 167,03C7,967,χ,2,207 135,32,1 32
03A8,936,Ψ,2,206 168,03C8,968,ψ,2,207 136,32,1 32
03A9,937,Ω,2,206 169,03C9,969,ω,2,207 137,32,1 32
03AA,938,Ϊ,2,206 170,03CA,970,ϊ,2,207 138,32,1 32
03AB,939,Ϋ,2,206 171,03CB,971,ϋ,2,207 139,32,1 32
03CF,975,Ϗ,2,207 143,03D7,983,ϗ,2,207 151,8,0 24
03D8,984,Ϙ,2,207 152,03D9,985,ϙ,2,207 153,1,0 1
03DA,986,Ϛ,2,207 154,03DB,987,ϛ,2,207 155,1,0 1
03DC,988,Ϝ,2,207 156,03DD,989,ϝ,2,207 157,1,0 1
03DE,990,Ϟ,2,207 158,03DF,991,ϟ,2,207 159,1,0 1
03E0,992,Ϡ,2,207 160,03E1,993,ϡ,2,207 161,1,0 1
03E2,994,Ϣ,2,207 162,03E3,995,ϣ,2,207 163,1,0 1
03E4,996,Ϥ,2,207 164,03E5,997,ϥ,2,207 165,1,0 1
03E6,998,Ϧ,2,207 166,03E7,999,ϧ,2,207 167,1,0 1
03E8,1000,Ϩ,2,207 168,03E9,1001,ϩ,2,207 169,1,0 1
03EA,1002,Ϫ,2,207 170,03EB,1003,ϫ,2,207 171,1,0 1
03EC,1004,Ϭ,2,207 172,03ED,1005,ϭ,2,207 173,1,0 1
03EE,1006,Ϯ,2,207 174,03EF,1007,ϯ,2,207 175,1,0 1
03F4,1012,ϴ,2,207 180,03B8,952,θ,2,206 184,-60,1 12
03F7,1015,Ϸ,2,207 183,03F8,1016,ϸ,2,207 184,1,0 15
03F9,1017,Ϲ,2,207 185,03F2,1010,ϲ,2,207 178,-7,0 11
03FA,1018,Ϻ,2,207 186,03FB,1019,ϻ,2,207 187,1,0 1
03FD,1021,Ͻ,2,207 189,037B,891,ͻ,2,205 187,-130,2 6
03FE,1022,Ͼ,2,207 190,037C,892,ͼ,2,205 188,-130,2 2
03FF,1023,Ͽ,2,207 191,037D,893,ͽ,2,205 189,-130,2 2
0400,1024,Ѐ,2,208 128,0450,1104,ѐ,2,209 144,80,1 16
0401,1025,Ё,2,208 129,0451,1105,ё,2,209 145,80,1 16
0402,1026,Ђ,2,208 130,0452,1106,ђ,2,209 146,80,1 16
0403,1027,Ѓ,2,208 131,0453,1107,ѓ,2,209 147,80,1 16
0404,1028,Є,2,208 132,0454,1108,є,2,209 148,80,1 16
0405,1029,Ѕ,2,208 133,0455,1109,ѕ,2,209 149,80,1 16
0406,1030,І,2,208 134,0456,1110,і,2,209 150,80,1 16
0407,1031,Ї,2,208 135,0457,1111,ї,2,209 151,80,1 16
0408,1032,Ј,2,208 136,0458,1112,ј,2,209 152,80,1 16
0409,1033,Љ,2,208 137,0459,1113,љ,2,209 153,80,1 16
040A,1034,Њ,2,208 138,045A,1114,њ,2,209 154,80,1 16
040B,1035,Ћ,2,208 139,045B,1115,ћ,2,209 155,80,1 16
040C,1036,Ќ,2,208 140,045C,1116,ќ,2,209 156,80,1 16
040D,1037,Ѝ,2,208 141,045D,1117,ѝ,2,209 157,80,1 16
040E,1038,Ў,2,208 142,045E,1118,ў,2,209 158,80,1 16
040F,1039,Џ,2,208 143,045F,1119,џ,2,209 159,80,1 16
0410,1040,А,2,208 144,0430,1072,а,2,208 176,32,0 32
0411,1041,Б,2,208 145,0431,1073,б,2,208 177,32,0 32
0412,1042,В,2,208 146,0432,1074,в,2,208 178,32,0 32
0413,1043,Г,2,208 147,0433,1075,г,2,208 179,32,0 32
0414,1044,Д,2,208 148,0434,1076,д,2,208 180,32,0 32
0415,1045,Е,2,208 149,0435,1077,е,2,208 181,32,0 32
0416,1046,Ж,2,208 150,0436,1078,ж,2,208 182,32,0 32
0417,1047,З,2,208 151,0437,1079,з,2,208 183,32,0 32
0418,1048,И,2,208 152,0438,1080,и,2,208 184,32,0 32
0419,1049,Й,2,208 153,0439,1081,й,2,208 185,32,0 32
041A,1050,К,2,208 154,043A,1082,к,2,208 186,32,0 32
041B,1051,Л,2,208 155,043B,1083,л,2,208 187,32,0 32
041C,1052,М,2,208 156,043C,1084,м,2,208 188,32,0 32
041D,1053,Н,2,208 157,043D,1085,н,2,208 189,32,0 32
041E,1054,О,2,208 158,043E,1086,о,2,208 190,32,0 32
041F,1055,П,2,208 159,043F,1087,п,2,208 191,32,0 32
0420,1056,Р,2,208 160,0440,1088,р,2,209 128,32,1 32
0421,1057,С,2,208 161,0441,1089,с,2,209 129,32,1 32
0422,1058,Т,2,208 162,0442,1090,т,2,209 130,32,1 32
0423,1059,У,2,208 163,0443,1091,у,2,209 131,32,1 32
0424,1060,Ф,2,208 164,0444,1092,ф,2,209 132,32,1 32
0425,1061,Х,2,208 165,0445,1093,х,2,209 133,32,1 32
0426,1062,Ц,2,208 166,0446,1094,ц,2,209 134,32,1 32
0427,1063,Ч,2,208 167,0447,1095,ч,2,209 135,32,1 32
0428,1064,Ш,2,208 168,0448,1096,ш,2,209 136,32,1 32
0429,1065,Щ,2,208 169,0449,1097,щ,2,209 137,32,1 32
042A,1066,Ъ,2,208 170,044A,1098,ъ,2,209 138,32,1 32
042B,1067,Ы,2,208 171,044B,1099,ы,2,209 139,32,1 32
042C,1068,Ь,2,208 172,044C,1100,ь,2,209 140,32,1 32
042D,1069,Э,2,208 173,044D,1101,э,2,209 141,32,1 32
042E,1070,Ю,2,208 174,044E,1102,ю,2,209 142,32,1 32
042F,1071,Я,2,208 175,044F,1103,я,2,209 143,32,1 32
0460,1120,Ѡ,2,209 160,0461,1121,ѡ,2,209 161,1,0 1
0462,1122,Ѣ,2,209 162,0463,1123,ѣ,2,209 163,1,0 1
0464,1124,Ѥ,2,209 164,0465,1125,ѥ,2,209 165,1,0 1
0466,1126,Ѧ,2,209 166,0467,1127,ѧ,2,209 167,1,0 1
0468,1128,Ѩ,2,209 168,0469,1129,ѩ,2,209 169,1,0 1
046A,1130,Ѫ,2,209 170,046B,1131,ѫ,2,209 171,1,0 1
046C,1132,Ѭ,2,209 172,046D,1133,ѭ,2,209 173,1,0 1
046E,1134,Ѯ,2,209 174,046F,1135,ѯ,2,209 175,1,0 1
0470,1136,Ѱ,2,209 176,0471,1137,ѱ,2,209 177,1,0 1
0472,1138,Ѳ,2,209 178,0473,1139,ѳ,2,209 179,1,0 1
0474,1140,Ѵ,2,209 180,0475,1141,ѵ,2,209 181,1,0 1
0476,1142,Ѷ,2,209 182,0477,1143,ѷ,2,209 183,1,0 1
0478,1144,Ѹ,2,209 184,0479,1145,ѹ,2,209 185,1,0 1
047A,1146,Ѻ,2,209 186,047B,1147,ѻ,2,209 187,1,0 1
047C,1148,Ѽ,2,209 188,047D,1149,ѽ,2,209 189,1,0 1
047E,1150,Ѿ,2,209 190,047F,1151,ѿ,2,209 191,1,0 1
0480,1152,Ҁ,2,210 128,0481,1153,ҁ,2,210 129,1,0 1
048A,1162,Ҋ,2,210 138,048B,1163,ҋ,2,210 139,1,0 1
048C,1164,Ҍ,2,210 140,048D,1165,ҍ,2,210 141,1,0 1
048E,1166,Ҏ,2,210 142,048F,1167,ҏ,2,210 143,1,0 1
0490,1168,Ґ,2,210 144,0491,1169,ґ,2,210 145,1,0 1
0492,1170,Ғ,2,210 146,0493,1171,ғ,2,210 147,1,0 1
0494,1172,Ҕ,2,210 148,0495,1173,ҕ,2,210 149,1,0 1
0496,1174,Җ,2,210 150,0497,1175,җ,2,210 151,1,0 1
0498,1176,Ҙ,2,210 152,0499,1177,ҙ,2,210 153,1,0 1
049A,1178,Қ,2,210 154,049B,1179,қ,2,210 155,1,0 1
049C,1180,Ҝ,2,210 156,049D,1181,ҝ,2,210 157,1,0 1
049E,1182,Ҟ,2,210 158,049F,1183,ҟ,2,210 159,1,0 1
04A0,1184,Ҡ,2,210 160,04A1,1185,ҡ,2,210 161,1,0 1
04A2,1186,Ң,2,210 162,04A3,1187,ң,2,210 163,1,0 1
04A4,1188,Ҥ,2,210 164,04A5,1189,ҥ,2,210 165,1,0 1
04A6,1190,Ҧ,2,210 166,04A7,1191,ҧ,2,210 167,1,0 1
04A8,1192,Ҩ,2,210 168,04A9,1193,ҩ,2,210 169,1,0 1
04AA,1194,Ҫ,2,210 170,04AB,1195,ҫ,2,210 171,1,0 1
04AC,1196,Ҭ,2,210 172,04AD,1197,ҭ,2,210 173,1,0 1
04AE,1198,Ү,2,210 174,04AF,1199,ү,2,210 175,1,0 1
04B0,1200,Ұ,2,210 176,04B1,1201,ұ,2,210 177,1,0 1
